State Name,Univesity Name ,College/Stand Alone Institution
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Venkateswara and Sri Satyadev Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",AL Momin College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vijaya Jyothi Degree College, Mangalagiri"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","B.M.Degree College, P.Dornala"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Govt. Degree College, Kanigiri"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Palnadu College of Education, Narayanapuram"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",N.N.S Vidya Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Pedanandipadu College of Arts and Sciences
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Alpha College of Education, Kanigiri"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",N.N.R. and C.L. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Anniebesant College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Mahaveer Memorial Jain Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Sri Rama Krishna Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","Vikas Degree College, Macherla"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Tarlapadu College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",K.L.R. Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",C.R. College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",St. Xavier Institute of Pharmacy
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",B.A and K.R Degree College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",S.L.V. College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur","M.A.M College of Pharmacy, Narsaraopet"
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",R.V.R. and J.C. College of Engineering
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",Bapatla Womens Engineering College
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",H.M.K.S. and M.G.S. Memorial College of Education
Andhra Pradesh,"Acharya Nagarjuna University, Guntur",V.T.J.M. and I.V.T.R. Degree College
