Institute Name,Course Name
,- B. Sc in Aeronautical Science
,- BCA
,- BBM
,- B.Com
,- BBM in Marketing Management
,- BBM in Finance Management
,- BBA
,- BBA in Aviation Management
,"- BBA in Media, Entertainment and Management"
,- B. Pharma
,- BBA in Logistical shipping
,- M. Sc in Multimedia
,- M. Sc in Software Engineering
,- M. Sc in Building and Interior Designing
,- MBA
,- MBA in Textile Management
,- MBA in International Business Management
,- MBA in Software Testing Quality Management
,- MBA in Airline & Airport Management
,- PG Diploma in Astrology
,- Master Diploma in Animation and Multimedia
,- Master Diploma in Interior Designing
,- Master Diploma in Fashion Designing
,- Master Diploma in Hotel Management
,- Master Diploma in Banking Management
,- Master Diploma and Diploma in Accounts and Finance
,- Master Diploma and Diploma in Aviation Management
,- Diploma in Animation
,- Diploma in Interior Designing
,- Diploma in Visual Effects
,- Diploma in Game Designing
,- Diploma in Fashion Designing
,- Diploma in Journalism and Mass Communication
,- Diploma in Airline & Airport Management
,- D. Pharma
,- Diploma and Master Diploma in Astrology
,- Master Diploma in Fire and Safety
,- Diploma in Fire and Safety
,- Master Diploma in Retail Management
,- Diploma in Retail Management
,
,
Take One School Of Mass Communication,- Bachelor of mass communication and Journalism (BJMC)
,- Masters of mass communication and Journalism (MJMC)
,- Post Graduate Diploma in mass communication (PGDMC)
,- Diploma in Acting
,- Diploma in Filmmaking
,
,
"MIT Art, Design and Technology University",- B.Tech in Mechanical Engineering
,- B.Tech in Civil Engineering
,- M.A./MSC IN FILM MAKING
,- B.A/B.SC IN FILM MAKING
,- B Tech-Computer Science & Engineering
,- B Tech-Electronics & Communication Engineering
,- B Tech-Information Technology
,- M Tech-Civil Engineering
,- M Tech-Computer Science & Engineering
,- M Tech-Information Technology
,- BAJMC- (Bachelor of Arts in Journalism and Mass Communication)
,- MAJMC (Master of Arts in Journalism and Mass Communication)
,
,
Manav Rachna Educational Institutions,- BBA- (Global) International Business
,- BBA - Banking and Financial Markets
,- BBA General
,"- BBA - Operations Management(Supply Chain Management, Logistics & Projects Management)"
,- BAJMC - BA in Journalism and Mass Communication
,- MAJMC - MA in Journalism and Mass Communication
,- BBA LLB. (Hons)
,- B.Com. LLB. (Hons)
,- B.A. LLB. (Hons)
,- B.Sc - Hospitality & Hotel Administration
,- B. Ed.
,- B.A. B.Ed. Integrated
,- B.Sc. B.Ed. Integrated
,- M.A - Education
,- BBA - Health Care Management in association with Cygnus Hospitals
,- BBA - Finance & Accounts
,- BBA - Entrepreneurship & Family Business
,
,
Doon Business School(Mass Communication),- BBA
,- B.COM
,- BCA
,- B.A. (HONS.) MASS COMMUNICATION AND JOURNALISM
,- M.A. (MASS COMMUNICATION)
,
,
"NRAI School of Mass Communication, Management & Technology",- Bachelors in Journalism and Mass Communication (BJMC)
,- Masters in Journalism and Mass Communication (MJMC)
,- Diploma in Mass Communication
,- Diploma in Hotel Management
,- Diploma in Film Making
,- Diploma in T.V/Anchoring/Reporting
,"- Diploma in Sound Engineering, Mixing Editing"
,- Diploma in Still Photography
,- Diploma in Non Linear Editing
,
,
,
Apeejay Institute of Mass Communication (AIMC),- Post Graduate Diploma in Television & Radio Journalism / Production
,- Post Graduate Diploma in Advertising & Marketing Communication
,- PG in Digital Media & Online Journalism
,- PG in Corporate Communication & Event Management
,
,
HERITAGE INSTITUTE OF MANAGEMENT & COMMUNICATION,- Masters in Mass Communication
,- Bachelors in Mass Communication
,- PG Diploma in Broadcast Journalism & Production
,- Diploma in Video Editing
,- Diploma in video Production
,
Goswami Ganesh Dutta Sanatan Dharma College,- M.Sc. (Information Technology)
,- Post Graduate Diploma in Mass Communication
,- Post Graduate Diploma in Marketing Management
,- Bachelor Of Commerce (Honours)
,- Master Of Science (Bio-Technology)
,- Post Graduate Diploma in Computer Application
,- Bachelor Of Computer Application
,- Bachelor Of Art
,- B. A. English (Honours)
,- Bachelor Of Science (Pass)
,- Bachelor Of Business Administration
,
Editworks School Of Mass Communication,- B.Sc. In Electronic Media
,- Bachelor of Journalism
,- Diploma in Television Journalism
,"- B.Sc. (Mass Communication, Advertisement & Journalism)"
,- Anchoring And News Reading
,- B.Sc. MultiMedia
,
SAE Technology College,- 2D & 3D Certificate
,- Diploma in Digital Film Making
,- Studio Assistant Certificate
,- Degree in Digital Film Making & Recording Arts
,- BA in Digital Film Making & Animation
,- Film Assistant Certificate
,- Diploma in Animation Arts
,- Electronic Music Production
